"species"	"dataset"	"description"	"version"	"genes_considered"	"intergenic_distance"	"comment"	"rank_name"	"distance"	"pretty.names"
"Gorilla"	"ggorilla_gene_ensembl"	"Gorilla genes (gorGor4)"	"gorGor4"	"Hoxb1_Hoxb9"	77099	""	"Hominidae"	77.099	"Hominidae"
"Gorilla"	"ggorilla_gene_ensembl"	"Gorilla genes (gorGor4)"	"gorGor4"	"Hoxb9_Hoxb13"	102781	""	"Hominidae"	102.781	"Hominidae"
"Greater amberjack"	"sdumerili_gene_ensembl"	"Greater amberjack genes (Sdu_1.0)"	"Sdu_1.0"	"Hoxb1_Hoxb9"	182062	"ignored_BDQW01000068.1_genes__"	"Actinopterygii"	182.062	"Actinopterygii"
"Greater amberjack"	"sdumerili_gene_ensembl"	"Greater amberjack genes (Sdu_1.0)"	"Sdu_1.0"	"Hoxb9_Hoxb13"	62521	""	"Actinopterygii"	62.521	"Actinopterygii"
"Greater bamboo lemur"	"psimus_gene_ensembl"	"Greater bamboo lemur genes (Prosim_1.0)"	"Prosim_1.0"	"Hoxb1_Hoxb9"	106844	""	"Primates"	106.844	"Other Primates"
"Greater bamboo lemur"	"psimus_gene_ensembl"	"Greater bamboo lemur genes (Prosim_1.0)"	"Prosim_1.0"	"Hoxb9_Hoxb13"	74244	""	"Primates"	74.244	"Other Primates"
"Greater horseshoe bat"	"rferrumequinum_gene_ensembl"	"Greater horseshoe bat genes (mRhiFer1_v1.p)"	"mRhiFer1_v1.p"	"Hoxb1_Hoxb9"	88223	""	"Eutheria"	88.223	"Other Placentalia"
"Greater horseshoe bat"	"rferrumequinum_gene_ensembl"	"Greater horseshoe bat genes (mRhiFer1_v1.p)"	"mRhiFer1_v1.p"	"Hoxb9_Hoxb13"	60317	""	"Eutheria"	60.317	"Other Placentalia"
"Guinea Pig"	"cporcellus_gene_ensembl"	"Guinea Pig genes (Cavpor3.0)"	"Cavpor3.0"	"Hoxb1_Hoxb9"	85675	""	"Eutheria"	85.675	"Other Placentalia"
"Guinea Pig"	"cporcellus_gene_ensembl"	"Guinea Pig genes (Cavpor3.0)"	"Cavpor3.0"	"Hoxb9_Hoxb13"	66075	""	"Eutheria"	66.075	"Other Placentalia"
"Guppy"	"preticulata_gene_ensembl"	"Guppy genes (Guppy_female_1.0_MT)"	"Guppy_female_1.0_MT"	"Hoxb1_Hoxb9"	188903	"ignored_KK217566.1_genes__"	"Actinopterygii"	188.903	"Actinopterygii"
"Guppy"	"preticulata_gene_ensembl"	"Guppy genes (Guppy_female_1.0_MT)"	"Guppy_female_1.0_MT"	"Hoxb9_Hoxb13"	75773	""	"Actinopterygii"	75.773	"Actinopterygii"
"Horse"	"ecaballus_gene_ensembl"	"Horse genes (EquCab3.0)"	"EquCab3.0"	"Hoxb1_Hoxb9"	87451	""	"Eutheria"	87.451	"Other Placentalia"
"Horse"	"ecaballus_gene_ensembl"	"Horse genes (EquCab3.0)"	"EquCab3.0"	"Hoxb9_Hoxb13"	65041	""	"Eutheria"	65.041	"Other Placentalia"
"Huchen"	"hhucho_gene_ensembl"	"Huchen genes (ASM331708v1)"	"ASM331708v1"	"Hoxb1_Hoxb9"	100802	"ignored_QNTS01000008.1_and_QNTS01000016.1_and_QNTS01000161.1_and_QNTS01000899.1_genes__"	"Actinopterygii"	100.802	"Actinopterygii"
"Huchen"	"hhucho_gene_ensembl"	"Huchen genes (ASM331708v1)"	"ASM331708v1"	"Hoxb9_Hoxb13"	28599	"ignored_QNTS01000899.1_genes__"	"Actinopterygii"	28.599	"Actinopterygii"
"Human"	"hsapiens_gene_ensembl"	"Human genes (GRCh38.p14)"	"GRCh38.p14"	"Hoxb1_Hoxb9"	90195.5	"multiple_extremities_this_is_average"	"Hominidae"	90.1955	"Hominidae"
"Human"	"hsapiens_gene_ensembl"	"Human genes (GRCh38.p14)"	"GRCh38.p14"	"Hoxb9_Hoxb13"	98405	""	"Hominidae"	98.405	"Hominidae"
"Hybrid - Bos Indicus"	"bihybrid_gene_ensembl"	"Hybrid - Bos Indicus genes (UOA_Brahman_1)"	"UOA_Brahman_1"	"Hoxb1_Hoxb9"	85803	""	"Eutheria"	85.803	"Other Placentalia"
"Hybrid - Bos Indicus"	"bihybrid_gene_ensembl"	"Hybrid - Bos Indicus genes (UOA_Brahman_1)"	"UOA_Brahman_1"	"Hoxb9_Hoxb13"	72929	""	"Eutheria"	72.929	"Other Placentalia"
"Indian cobra"	"nnaja_gene_ensembl"	"Indian cobra genes (Nana_v5)"	"Nana_v5"	"Hoxb1_Hoxb9"	131925.5	"multiple_extremities_this_is_average"	"Lepidosauria"	131.9255	"Reptilia"
"Indian cobra"	"nnaja_gene_ensembl"	"Indian cobra genes (Nana_v5)"	"Nana_v5"	"Hoxb9_Hoxb13"	95946	""	"Lepidosauria"	95.946	"Reptilia"
"Indian medaka"	"omelastigma_gene_ensembl"	"Indian medaka genes (Om_v0.7.RACA)"	"Om_v0.7.RACA"	"Hoxb1_Hoxb9"	131894.25	"ignored_NVQA01000018.1_genes__multiple_extremities_this_is_average"	"Actinopterygii"	131.89425	"Actinopterygii"
"Indian medaka"	"omelastigma_gene_ensembl"	"Indian medaka genes (Om_v0.7.RACA)"	"Om_v0.7.RACA"	"Hoxb9_Hoxb13"	39771	""	"Actinopterygii"	39.771	"Actinopterygii"
"Japanese medaka HdrR"	"olatipes_gene_ensembl"	"Japanese medaka HdrR genes (ASM223467v1)"	"ASM223467v1"	"Hoxb1_Hoxb9"	118395	"ignored_19_genes__"	"Actinopterygii"	118.395	"Actinopterygii"
"Japanese medaka HdrR"	"olatipes_gene_ensembl"	"Japanese medaka HdrR genes (ASM223467v1)"	"ASM223467v1"	"Hoxb9_Hoxb13"	25240	""	"Actinopterygii"	25.24	"Actinopterygii"
"Japanese quail"	"cjaponica_gene_ensembl"	"Japanese quail genes (Coturnix_japonica_2.0)"	"Coturnix_japonica_2.0"	"Hoxb1_Hoxb9"	93825	""	"Aves"	93.825	"Aves"
"Japanese quail"	"cjaponica_gene_ensembl"	"Japanese quail genes (Coturnix_japonica_2.0)"	"Coturnix_japonica_2.0"	"Hoxb9_Hoxb13"	34428	""	"Aves"	34.428	"Aves"
"Javanese ricefish"	"ojavanicus_gene_ensembl"	"Javanese ricefish genes (OJAV_1.1)"	"OJAV_1.1"	"Hoxb1_Hoxb9"	135054.5	"ignored_19_genes__multiple_extremities_this_is_average"	"Actinopterygii"	135.0545	"Actinopterygii"
"Javanese ricefish"	"ojavanicus_gene_ensembl"	"Javanese ricefish genes (OJAV_1.1)"	"OJAV_1.1"	"Hoxb9_Hoxb13"	41471	""	"Actinopterygii"	41.471	"Actinopterygii"
"Kakapo"	"shabroptila_gene_ensembl"	"Kakapo genes (bStrHab1_v1.p)"	"bStrHab1_v1.p"	"Hoxb1_Hoxb9"	88320	""	"Aves"	88.32	"Aves"
"Kakapo"	"shabroptila_gene_ensembl"	"Kakapo genes (bStrHab1_v1.p)"	"bStrHab1_v1.p"	"Hoxb9_Hoxb13"	40261	""	"Aves"	40.261	"Aves"
"Kangaroo rat"	"dordii_gene_ensembl"	"Kangaroo rat genes (Dord_2.0)"	"Dord_2.0"	"Hoxb1_Hoxb9"	92388	""	"Eutheria"	92.388	"Other Placentalia"
"Kangaroo rat"	"dordii_gene_ensembl"	"Kangaroo rat genes (Dord_2.0)"	"Dord_2.0"	"Hoxb9_Hoxb13"	61094	""	"Eutheria"	61.094	"Other Placentalia"
"Koala"	"pcinereus_gene_ensembl"	"Koala genes (phaCin_unsw_v4.1)"	"phaCin_unsw_v4.1"	"Hoxb1_Hoxb9"	95102.3333333333	"multiple_extremities_this_is_average"	"Metatheria"	95.1023333333333	"Marsupialia"
"Koala"	"pcinereus_gene_ensembl"	"Koala genes (phaCin_unsw_v4.1)"	"phaCin_unsw_v4.1"	"Hoxb9_Hoxb13"	101820	"multiple_extremities_this_is_average"	"Metatheria"	101.82	"Marsupialia"
"Large yellow croaker"	"lcrocea_gene_ensembl"	"Large yellow croaker genes (L_crocea_2.0)"	"L_crocea_2.0"	"Hoxb1_Hoxb9"	161467	""	"Actinopterygii"	161.467	"Actinopterygii"
"Large yellow croaker"	"lcrocea_gene_ensembl"	"Large yellow croaker genes (L_crocea_2.0)"	"L_crocea_2.0"	"Hoxb9_Hoxb13"	52209	""	"Actinopterygii"	52.209	"Actinopterygii"
"Leopard"	"ppardus_gene_ensembl"	"Leopard genes (PanPar1.0)"	"PanPar1.0"	"Hoxb1_Hoxb9"	124313	""	"Eutheria"	124.313	"Other Placentalia"
"Leopard"	"ppardus_gene_ensembl"	"Leopard genes (PanPar1.0)"	"PanPar1.0"	"Hoxb9_Hoxb13"	82686	""	"Eutheria"	82.686	"Other Placentalia"
"Lesser Egyptian jerboa"	"jjaculus_gene_ensembl"	"Lesser Egyptian jerboa genes (JacJac1.0)"	"JacJac1.0"	"Hoxb1_Hoxb9"	96016	""	"Eutheria"	96.016	"Other Placentalia"
"Lesser Egyptian jerboa"	"jjaculus_gene_ensembl"	"Lesser Egyptian jerboa genes (JacJac1.0)"	"JacJac1.0"	"Hoxb9_Hoxb13"	83040	""	"Eutheria"	83.04	"Other Placentalia"
"Lion"	"pleo_gene_ensembl"	"Lion genes (PanLeo1.0)"	"PanLeo1.0"	"Hoxb1_Hoxb9"	89916	""	"Eutheria"	89.916	"Other Placentalia"
"Lion"	"pleo_gene_ensembl"	"Lion genes (PanLeo1.0)"	"PanLeo1.0"	"Hoxb9_Hoxb13"	70343	""	"Eutheria"	70.343	"Other Placentalia"
"Long-tailed chinchilla"	"clanigera_gene_ensembl"	"Long-tailed chinchilla genes (ChiLan1.0)"	"ChiLan1.0"	"Hoxb1_Hoxb9"	87644	""	"Eutheria"	87.644	"Other Placentalia"
"Long-tailed chinchilla"	"clanigera_gene_ensembl"	"Long-tailed chinchilla genes (ChiLan1.0)"	"ChiLan1.0"	"Hoxb9_Hoxb13"	78456	""	"Eutheria"	78.456	"Other Placentalia"
"Lumpfish"	"clumpus_gene_ensembl"	"Lumpfish genes (fCycLum1.pri)"	"fCycLum1.pri"	"Hoxb1_Hoxb9"	94103.5	"ignored_19_genes__multiple_extremities_this_is_average"	"Actinopterygii"	94.1035	"Actinopterygii"
"Lumpfish"	"clumpus_gene_ensembl"	"Lumpfish genes (fCycLum1.pri)"	"fCycLum1.pri"	"Hoxb9_Hoxb13"	127623	""	"Actinopterygii"	127.623	"Actinopterygii"
"Lyretail cichlid"	"nbrichardi_gene_ensembl"	"Lyretail cichlid genes (NeoBri1.0)"	"NeoBri1.0"	"Hoxb1_Hoxb9"	138328.5	"ignored_JH422300.1_genes__multiple_extremities_this_is_average"	"Actinopterygii"	138.3285	"Actinopterygii"
"Lyretail cichlid"	"nbrichardi_gene_ensembl"	"Lyretail cichlid genes (NeoBri1.0)"	"NeoBri1.0"	"Hoxb9_Hoxb13"	94342	""	"Actinopterygii"	94.342	"Actinopterygii"
"Ma's night monkey"	"anancymaae_gene_ensembl"	"Ma's night monkey genes (Anan_2.0)"	"Anan_2.0"	"Hoxb1_Hoxb9"	90725	""	"Primates"	90.725	"Other Primates"
"Ma's night monkey"	"anancymaae_gene_ensembl"	"Ma's night monkey genes (Anan_2.0)"	"Anan_2.0"	"Hoxb9_Hoxb13"	90806	""	"Primates"	90.806	"Other Primates"
"Macaque"	"mmulatta_gene_ensembl"	"Macaque genes (Mmul_10)"	"Mmul_10"	"Hoxb1_Hoxb9"	90370	""	"Primates"	90.37	"Other Primates"
"Macaque"	"mmulatta_gene_ensembl"	"Macaque genes (Mmul_10)"	"Mmul_10"	"Hoxb9_Hoxb13"	91066	""	"Primates"	91.066	"Other Primates"
"Mainland tiger snake"	"nscutatus_gene_ensembl"	"Mainland tiger snake genes (TS10Xv2-PRI)"	"TS10Xv2-PRI"	"Hoxb1_Hoxb9"	130434	""	"Lepidosauria"	130.434	"Reptilia"
"Mainland tiger snake"	"nscutatus_gene_ensembl"	"Mainland tiger snake genes (TS10Xv2-PRI)"	"TS10Xv2-PRI"	"Hoxb9_Hoxb13"	124825	""	"Lepidosauria"	124.825	"Reptilia"
"Mangrove rivulus"	"kmarmoratus_gene_ensembl"	"Mangrove rivulus genes (ASM164957v1)"	"ASM164957v1"	"Hoxb1_Hoxb9"	163584.5	"ignored_LWHD01000313.1_genes__multiple_extremities_this_is_average"	"Actinopterygii"	163.5845	"Actinopterygii"
"Mangrove rivulus"	"kmarmoratus_gene_ensembl"	"Mangrove rivulus genes (ASM164957v1)"	"ASM164957v1"	"Hoxb9_Hoxb13"	78208	""	"Actinopterygii"	78.208	"Actinopterygii"
"Mexican tetra"	"amexicanus_gene_ensembl"	"Mexican tetra genes (Astyanax_mexicanus-2.0)"	"Astyanax_mexicanus-2.0"	"Hoxb1_Hoxb9"	78296	"ignored_4_genes__"	"Actinopterygii"	78.296	"Actinopterygii"
"Mexican tetra"	"amexicanus_gene_ensembl"	"Mexican tetra genes (Astyanax_mexicanus-2.0)"	"Astyanax_mexicanus-2.0"	"Hoxb9_Hoxb13"	16403	""	"Actinopterygii"	16.403	"Actinopterygii"
"Microbat"	"mlucifugus_gene_ensembl"	"Microbat genes (Myoluc2.0)"	"Myoluc2.0"	"Hoxb1_Hoxb9"	88499	""	"Eutheria"	88.499	"Other Placentalia"
"Microbat"	"mlucifugus_gene_ensembl"	"Microbat genes (Myoluc2.0)"	"Myoluc2.0"	"Hoxb9_Hoxb13"	53923	""	"Eutheria"	53.923	"Other Placentalia"
"Midas cichlid"	"acitrinellus_gene_ensembl"	"Midas cichlid genes (Midas_v5)"	"Midas_v5"	"Hoxb1_Hoxb9"	159638	"ignored_CCOE01000143.1_genes__"	"Actinopterygii"	159.638	"Actinopterygii"
"Midas cichlid"	"acitrinellus_gene_ensembl"	"Midas cichlid genes (Midas_v5)"	"Midas_v5"	"Hoxb9_Hoxb13"	57261	""	"Actinopterygii"	57.261	"Actinopterygii"
"Mouse"	"mmusculus_gene_ensembl"	"Mouse genes (GRCm39)"	"GRCm39"	"Hoxb1_Hoxb9"	89410	"multiple_extremities_this_is_average"	"Muridae"	89.41	"Muridae"
"Mouse"	"mmusculus_gene_ensembl"	"Mouse genes (GRCm39)"	"GRCm39"	"Hoxb9_Hoxb13"	74043	"multiple_extremities_this_is_average"	"Muridae"	74.043	"Muridae"
"Mouse Lemur"	"mmurinus_gene_ensembl"	"Mouse Lemur genes (Mmur_3.0)"	"Mmur_3.0"	"Hoxb1_Hoxb9"	96528	""	"Primates"	96.528	"Other Primates"
"Mouse Lemur"	"mmurinus_gene_ensembl"	"Mouse Lemur genes (Mmur_3.0)"	"Mmur_3.0"	"Hoxb9_Hoxb13"	72111	""	"Primates"	72.111	"Other Primates"
"Naked mole-rat female"	"hgfemale_gene_ensembl"	"Naked mole-rat female genes (Naked_mole-rat_maternal)"	"Naked_mole-rat_maternal"	"Hoxb1_Hoxb9"	85061	""	"Eutheria"	85.061	"Other Placentalia"
"Naked mole-rat female"	"hgfemale_gene_ensembl"	"Naked mole-rat female genes (Naked_mole-rat_maternal)"	"Naked_mole-rat_maternal"	"Hoxb9_Hoxb13"	75403	""	"Eutheria"	75.403	"Other Placentalia"
"Narwhal"	"mmonoceros_gene_ensembl"	"Narwhal genes (NGI_Narwhal_1)"	"NGI_Narwhal_1"	"Hoxb1_Hoxb9"	87626	""	"Eutheria"	87.626	"Other Placentalia"
"Narwhal"	"mmonoceros_gene_ensembl"	"Narwhal genes (NGI_Narwhal_1)"	"NGI_Narwhal_1"	"Hoxb9_Hoxb13"	75177	""	"Eutheria"	75.177	"Other Placentalia"
"Nile tilapia"	"oniloticus_gene_ensembl"	"Nile tilapia genes (O_niloticus_UMD_NMBU)"	"O_niloticus_UMD_NMBU"	"Hoxb1_Hoxb9"	142319	"ignored_LG8_genes__"	"Actinopterygii"	142.319	"Actinopterygii"
"Nile tilapia"	"oniloticus_gene_ensembl"	"Nile tilapia genes (O_niloticus_UMD_NMBU)"	"O_niloticus_UMD_NMBU"	"Hoxb9_Hoxb13"	52976	""	"Actinopterygii"	52.976	"Actinopterygii"
"Northern American deer mouse"	"pmbairdii_gene_ensembl"	"Northern American deer mouse genes (HU_Pman_2.1)"	"HU_Pman_2.1"	"Hoxb1_Hoxb9"	95125	""	"Eutheria"	95.125	"Other Placentalia"
"Northern American deer mouse"	"pmbairdii_gene_ensembl"	"Northern American deer mouse genes (HU_Pman_2.1)"	"HU_Pman_2.1"	"Hoxb9_Hoxb13"	77480	""	"Eutheria"	77.48	"Other Placentalia"
"Northern pike"	"elucius_gene_ensembl"	"Northern pike genes (Eluc_v4)"	"Eluc_v4"	"Hoxb1_Hoxb9"	97121	"ignored_LG16_genes__"	"Actinopterygii"	97.121	"Actinopterygii"
"Northern pike"	"elucius_gene_ensembl"	"Northern pike genes (Eluc_v4)"	"Eluc_v4"	"Hoxb9_Hoxb13"	27420	""	"Actinopterygii"	27.42	"Actinopterygii"
"Olive baboon"	"panubis_gene_ensembl"	"Olive baboon genes (Panubis1.0)"	"Panubis1.0"	"Hoxb1_Hoxb9"	92294	""	"Primates"	92.294	"Other Primates"
"Olive baboon"	"panubis_gene_ensembl"	"Olive baboon genes (Panubis1.0)"	"Panubis1.0"	"Hoxb9_Hoxb13"	96240	""	"Primates"	96.24	"Other Primates"
"Opossum"	"mdomestica_gene_ensembl"	"Opossum genes (ASM229v1)"	"ASM229v1"	"Hoxb1_Hoxb9"	96250	""	"Metatheria"	96.25	"Marsupialia"
"Opossum"	"mdomestica_gene_ensembl"	"Opossum genes (ASM229v1)"	"ASM229v1"	"Hoxb9_Hoxb13"	155093	""	"Metatheria"	155.093	"Marsupialia"
"Orange clownfish"	"apercula_gene_ensembl"	"Orange clownfish genes (Nemo_v1)"	"Nemo_v1"	"Hoxb1_Hoxb9"	166643	"ignored_19_genes__"	"Actinopterygii"	166.643	"Actinopterygii"
"Orange clownfish"	"apercula_gene_ensembl"	"Orange clownfish genes (Nemo_v1)"	"Nemo_v1"	"Hoxb9_Hoxb13"	62697	""	"Actinopterygii"	62.697	"Actinopterygii"
"Painted turtle"	"cpbellii_gene_ensembl"	"Painted turtle genes (Chrysemys_picta_bellii-3.0.3)"	"Chrysemys_picta_bellii-3.0.3"	"Hoxb1_Hoxb9"	95666	""	"Testudines"	95.666	"Reptilia"
"Painted turtle"	"cpbellii_gene_ensembl"	"Painted turtle genes (Chrysemys_picta_bellii-3.0.3)"	"Chrysemys_picta_bellii-3.0.3"	"Hoxb9_Hoxb13"	66075	""	"Testudines"	66.075	"Reptilia"
"Panamanian white-faced capuchin"	"cimitator_gene_ensembl"	"Panamanian white-faced capuchin genes (Cebus_imitator-1.0)"	"Cebus_imitator-1.0"	"Hoxb1_Hoxb9"	89672	""	"Primates"	89.672	"Other Primates"
"Panamanian white-faced capuchin"	"cimitator_gene_ensembl"	"Panamanian white-faced capuchin genes (Cebus_imitator-1.0)"	"Cebus_imitator-1.0"	"Hoxb9_Hoxb13"	90870	""	"Primates"	90.87	"Other Primates"
"Paramormyrops kingsleyae"	"pkingsleyae_gene_ensembl"	"Paramormyrops kingsleyae genes (PKINGS_0.1)"	"PKINGS_0.1"	"Hoxb1_Hoxb9"	81685	""	"Actinopterygii"	81.685	"Actinopterygii"
"Paramormyrops kingsleyae"	"pkingsleyae_gene_ensembl"	"Paramormyrops kingsleyae genes (PKINGS_0.1)"	"PKINGS_0.1"	"Hoxb9_Hoxb13"	28664	""	"Actinopterygii"	28.664	"Actinopterygii"
"Pig"	"sscrofa_gene_ensembl"	"Pig genes (Sscrofa11.1)"	"Sscrofa11.1"	"Hoxb1_Hoxb9"	89147	""	"Eutheria"	89.147	"Other Placentalia"
"Pig"	"sscrofa_gene_ensembl"	"Pig genes (Sscrofa11.1)"	"Sscrofa11.1"	"Hoxb9_Hoxb13"	67354	""	"Eutheria"	67.354	"Other Placentalia"
"Pig - Bamei"	"ssbamei_gene_ensembl"	"Pig - Bamei genes (Bamei_pig_v1)"	"Bamei_pig_v1"	"Hoxb1_Hoxb9"	90478	""	"Eutheria"	90.478	"Other Placentalia"
"Pig - Bamei"	"ssbamei_gene_ensembl"	"Pig - Bamei genes (Bamei_pig_v1)"	"Bamei_pig_v1"	"Hoxb9_Hoxb13"	69276	""	"Eutheria"	69.276	"Other Placentalia"
"Pig - Jinhua"	"ssjinhua_gene_ensembl"	"Pig - Jinhua genes (Jinhua_pig_v1)"	"Jinhua_pig_v1"	"Hoxb1_Hoxb9"	90369	""	"Eutheria"	90.369	"Other Placentalia"
"Pig - Jinhua"	"ssjinhua_gene_ensembl"	"Pig - Jinhua genes (Jinhua_pig_v1)"	"Jinhua_pig_v1"	"Hoxb9_Hoxb13"	68140	""	"Eutheria"	68.14	"Other Placentalia"
"Pig - Landrace"	"sslandrace_gene_ensembl"	"Pig - Landrace genes (Landrace_pig_v1)"	"Landrace_pig_v1"	"Hoxb1_Hoxb9"	86811	""	"Eutheria"	86.811	"Other Placentalia"
"Pig - Landrace"	"sslandrace_gene_ensembl"	"Pig - Landrace genes (Landrace_pig_v1)"	"Landrace_pig_v1"	"Hoxb9_Hoxb13"	68282	""	"Eutheria"	68.282	"Other Placentalia"
"Pig - Pietrain"	"sspietrain_gene_ensembl"	"Pig - Pietrain genes (Pietrain_pig_v1)"	"Pietrain_pig_v1"	"Hoxb1_Hoxb9"	86236	""	"Eutheria"	86.236	"Other Placentalia"
"Pig - Pietrain"	"sspietrain_gene_ensembl"	"Pig - Pietrain genes (Pietrain_pig_v1)"	"Pietrain_pig_v1"	"Hoxb9_Hoxb13"	68321	""	"Eutheria"	68.321	"Other Placentalia"
"Pig - Tibetan"	"sstibetan_gene_ensembl"	"Pig - Tibetan genes (Tibetan_Pig_v2)"	"Tibetan_Pig_v2"	"Hoxb1_Hoxb9"	95176	""	"Eutheria"	95.176	"Other Placentalia"
"Pig - Tibetan"	"sstibetan_gene_ensembl"	"Pig - Tibetan genes (Tibetan_Pig_v2)"	"Tibetan_Pig_v2"	"Hoxb9_Hoxb13"	70784	""	"Eutheria"	70.784	"Other Placentalia"
"Pig USMARC"	"ssusmarc_gene_ensembl"	"Pig USMARC genes (USMARCv1.0)"	"USMARCv1.0"	"Hoxb1_Hoxb9"	86861	""	"Eutheria"	86.861	"Other Placentalia"
"Pig USMARC"	"ssusmarc_gene_ensembl"	"Pig USMARC genes (USMARCv1.0)"	"USMARCv1.0"	"Hoxb9_Hoxb13"	68047	""	"Eutheria"	68.047	"Other Placentalia"
"Pig-tailed macaque"	"mnemestrina_gene_ensembl"	"Pig-tailed macaque genes (Mnem_1.0)"	"Mnem_1.0"	"Hoxb1_Hoxb9"	88435	""	"Primates"	88.435	"Other Primates"
"Pig-tailed macaque"	"mnemestrina_gene_ensembl"	"Pig-tailed macaque genes (Mnem_1.0)"	"Mnem_1.0"	"Hoxb9_Hoxb13"	97857	""	"Primates"	97.857	"Other Primates"
"Pike-perch"	"slucioperca_gene_ensembl"	"Pike-perch genes (SLUC_FBN_1)"	"SLUC_FBN_1"	"Hoxb1_Hoxb9"	165934.5	"ignored_VTTG01000003.1_genes__multiple_extremities_this_is_average"	"Actinopterygii"	165.9345	"Actinopterygii"
"Pike-perch"	"slucioperca_gene_ensembl"	"Pike-perch genes (SLUC_FBN_1)"	"SLUC_FBN_1"	"Hoxb9_Hoxb13"	63809	""	"Actinopterygii"	63.809	"Actinopterygii"
"Pinecone soldierfish"	"mmurdjan_gene_ensembl"	"Pinecone soldierfish genes (fMyrMur1.1)"	"fMyrMur1.1"	"Hoxb1_Hoxb9"	187672.5	"ignored_19_genes__multiple_extremities_this_is_average"	"Actinopterygii"	187.6725	"Actinopterygii"
"Pinecone soldierfish"	"mmurdjan_gene_ensembl"	"Pinecone soldierfish genes (fMyrMur1.1)"	"fMyrMur1.1"	"Hoxb9_Hoxb13"	51948	""	"Actinopterygii"	51.948	"Actinopterygii"
"Pink-footed goose"	"abrachyrhynchus_gene_ensembl"	"Pink-footed goose genes (ASM259213v1)"	"ASM259213v1"	"Hoxb1_Hoxb9"	94924	""	"Aves"	94.924	"Aves"
"Pink-footed goose"	"abrachyrhynchus_gene_ensembl"	"Pink-footed goose genes (ASM259213v1)"	"ASM259213v1"	"Hoxb9_Hoxb13"	39892	""	"Aves"	39.892	"Aves"
"Platyfish"	"xmaculatus_gene_ensembl"	"Platyfish genes (X_maculatus-5.0-male)"	"X_maculatus-5.0-male"	"Hoxb1_Hoxb9"	127937	"ignored_10_genes__"	"Actinopterygii"	127.937	"Actinopterygii"
"Platyfish"	"xmaculatus_gene_ensembl"	"Platyfish genes (X_maculatus-5.0-male)"	"X_maculatus-5.0-male"	"Hoxb9_Hoxb13"	24460	""	"Actinopterygii"	24.46	"Actinopterygii"
"Platypus"	"oanatinus_gene_ensembl"	"Platypus genes (mOrnAna1.p.v1)"	"mOrnAna1.p.v1"	"Hoxb1_Hoxb9"	102424	""	"Vertebrata"	102.424	"Other Vertebrata"
"Platypus"	"oanatinus_gene_ensembl"	"Platypus genes (mOrnAna1.p.v1)"	"mOrnAna1.p.v1"	"Hoxb9_Hoxb13"	49108.5	"multiple_extremities_this_is_average"	"Vertebrata"	49.1085	"Other Vertebrata"
"Prairie vole"	"mochrogaster_gene_ensembl"	"Prairie vole genes (MicOch1.0)"	"MicOch1.0"	"Hoxb1_Hoxb9"	91268	""	"Eutheria"	91.268	"Other Placentalia"
"Prairie vole"	"mochrogaster_gene_ensembl"	"Prairie vole genes (MicOch1.0)"	"MicOch1.0"	"Hoxb9_Hoxb13"	69322	""	"Eutheria"	69.322	"Other Placentalia"
"Rabbit"	"ocuniculus_gene_ensembl"	"Rabbit genes (OryCun2.0)"	"OryCun2.0"	"Hoxb1_Hoxb9"	85978	""	"Eutheria"	85.978	"Other Placentalia"
"Rabbit"	"ocuniculus_gene_ensembl"	"Rabbit genes (OryCun2.0)"	"OryCun2.0"	"Hoxb9_Hoxb13"	68166	""	"Eutheria"	68.166	"Other Placentalia"
"Rainbow trout"	"omykiss_gene_ensembl"	"Rainbow trout genes (USDA_OmykA_1.1)"	"USDA_OmykA_1.1"	"Hoxb1_Hoxb9"	98007	"ignored_13_and_16_and_3_genes__"	"Actinopterygii"	98.007	"Actinopterygii"
"Rainbow trout"	"omykiss_gene_ensembl"	"Rainbow trout genes (USDA_OmykA_1.1)"	"USDA_OmykA_1.1"	"Hoxb9_Hoxb13"	28929	"ignored_13_genes__"	"Actinopterygii"	28.929	"Actinopterygii"
"Rat"	"rnorvegicus_gene_ensembl"	"Rat genes (mRatBN7.2)"	"mRatBN7.2"	"Hoxb1_Hoxb9"	90689	""	"Muridae"	90.689	"Muridae"
"Rat"	"rnorvegicus_gene_ensembl"	"Rat genes (mRatBN7.2)"	"mRatBN7.2"	"Hoxb9_Hoxb13"	74535	""	"Muridae"	74.535	"Muridae"
"Red fox"	"vvulpes_gene_ensembl"	"Red fox genes (VulVul2.2)"	"VulVul2.2"	"Hoxb1_Hoxb9"	90345	""	"Eutheria"	90.345	"Other Placentalia"
"Red fox"	"vvulpes_gene_ensembl"	"Red fox genes (VulVul2.2)"	"VulVul2.2"	"Hoxb9_Hoxb13"	68827	""	"Eutheria"	68.827	"Other Placentalia"
"Red-bellied piranha"	"pnattereri_gene_ensembl"	"Red-bellied piranha genes (Pygocentrus_nattereri-1.0.2)"	"Pygocentrus_nattereri-1.0.2"	"Hoxb1_Hoxb9"	88846	"ignored_KV575308.1_and_KV576475.1_genes__"	"Actinopterygii"	88.846	"Actinopterygii"
"Red-bellied piranha"	"pnattereri_gene_ensembl"	"Red-bellied piranha genes (Pygocentrus_nattereri-1.0.2)"	"Pygocentrus_nattereri-1.0.2"	"Hoxb9_Hoxb13"	27231	""	"Actinopterygii"	27.231	"Actinopterygii"
