"dataset"	"description"	"version"	"genes_considered"	"intergenic_distance"	"comment"
"lchalumnae_gene_ensembl"	"Coelacanth genes (LatCha1)"	"LatCha1"	"Hoxb9_Hoxb13"	"99890"	""
"lcrocea_gene_ensembl"	"Large yellow croaker genes (L_crocea_2.0)"	"L_crocea_2.0"	"Hoxb1_Hoxb9"	"161467"	""
"lcrocea_gene_ensembl"	"Large yellow croaker genes (L_crocea_2.0)"	"L_crocea_2.0"	"Hoxb9_Hoxb13"	"52209"	""
"llaticaudata_gene_ensembl"	"Blue-ringed sea krait genes (latLat_1.0)"	"latLat_1.0"	"Hoxb1_Hoxb9"	"131940"	""
"llaticaudata_gene_ensembl"	"Blue-ringed sea krait genes (latLat_1.0)"	"latLat_1.0"	"Hoxb9_Hoxb13"	NA	"two_genes_on_two_different_chr"
"lleishanense_gene_ensembl"	"Leishan spiny toad genes (ASM966780v1)"	"ASM966780v1"	"Hoxb1_Hoxb9"	"179014"	""
"lleishanense_gene_ensembl"	"Leishan spiny toad genes (ASM966780v1)"	"ASM966780v1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"loculatus_gene_ensembl"	"Spotted gar genes (LepOcu1)"	"LepOcu1"	"Hoxb1_Hoxb9"	"94394"	""
"loculatus_gene_ensembl"	"Spotted gar genes (LepOcu1)"	"LepOcu1"	"Hoxb9_Hoxb13"	"38768"	""
"marmatus_gene_ensembl"	"Zig-zag eel genes (fMasArm1.2)"	"fMasArm1.2"	"Hoxb1_Hoxb9"	"136769"	"ignored_19_genes__"
"marmatus_gene_ensembl"	"Zig-zag eel genes (fMasArm1.2)"	"fMasArm1.2"	"Hoxb9_Hoxb13"	"43756"	""
"mauratus_gene_ensembl"	"Golden Hamster genes (MesAur1.0)"	"MesAur1.0"	"Hoxb1_Hoxb9"	"89677"	""
"mauratus_gene_ensembl"	"Golden Hamster genes (MesAur1.0)"	"MesAur1.0"	"Hoxb9_Hoxb13"	"70652"	""
"mcaroli_gene_ensembl"	"Ryukyu mouse genes (CAROLI_EIJ_v1.1)"	"CAROLI_EIJ_v1.1"	"Hoxb1_Hoxb9"	"89521"	"multiple_extremities_this_is_average"
"mcaroli_gene_ensembl"	"Ryukyu mouse genes (CAROLI_EIJ_v1.1)"	"CAROLI_EIJ_v1.1"	"Hoxb9_Hoxb13"	"75002"	"multiple_extremities_this_is_average"
"mdomestica_gene_ensembl"	"Opossum genes (ASM229v1)"	"ASM229v1"	"Hoxb1_Hoxb9"	"96250"	""
"mdomestica_gene_ensembl"	"Opossum genes (ASM229v1)"	"ASM229v1"	"Hoxb9_Hoxb13"	"155093"	""
"mfascicularis_gene_ensembl"	"Crab-eating macaque genes (Macaca_fascicularis_6.0)"	"Macaca_fascicularis_6.0"	"Hoxb1_Hoxb9"	"91681"	""
"mfascicularis_gene_ensembl"	"Crab-eating macaque genes (Macaca_fascicularis_6.0)"	"Macaca_fascicularis_6.0"	"Hoxb9_Hoxb13"	"93384"	""
"mgallopavo_gene_ensembl"	"Turkey genes (Turkey_5.1)"	"Turkey_5.1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"mgallopavo_gene_ensembl"	"Turkey genes (Turkey_5.1)"	"Turkey_5.1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"mleucophaeus_gene_ensembl"	"Drill genes (Mleu.le_1.0)"	"Mleu.le_1.0"	"Hoxb1_Hoxb9"	"90208"	""
"mleucophaeus_gene_ensembl"	"Drill genes (Mleu.le_1.0)"	"Mleu.le_1.0"	"Hoxb9_Hoxb13"	"98759"	""
"mlucifugus_gene_ensembl"	"Microbat genes (Myoluc2.0)"	"Myoluc2.0"	"Hoxb1_Hoxb9"	"88499"	""
"mlucifugus_gene_ensembl"	"Microbat genes (Myoluc2.0)"	"Myoluc2.0"	"Hoxb9_Hoxb13"	"53923"	""
"mmmarmota_gene_ensembl"	"Alpine marmot genes (marMar2.1)"	"marMar2.1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"mmmarmota_gene_ensembl"	"Alpine marmot genes (marMar2.1)"	"marMar2.1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"mmonoceros_gene_ensembl"	"Narwhal genes (NGI_Narwhal_1)"	"NGI_Narwhal_1"	"Hoxb1_Hoxb9"	"87626"	""
"mmonoceros_gene_ensembl"	"Narwhal genes (NGI_Narwhal_1)"	"NGI_Narwhal_1"	"Hoxb9_Hoxb13"	"75177"	""
"mmoschiferus_gene_ensembl"	"Siberian musk deer genes (MosMos_v2_BIUU_UCD)"	"MosMos_v2_BIUU_UCD"	"Hoxb1_Hoxb9"	"87240"	""
"mmoschiferus_gene_ensembl"	"Siberian musk deer genes (MosMos_v2_BIUU_UCD)"	"MosMos_v2_BIUU_UCD"	"Hoxb9_Hoxb13"	"72949"	""
"mmulatta_gene_ensembl"	"Macaque genes (Mmul_10)"	"Mmul_10"	"Hoxb1_Hoxb9"	"90370"	""
"mmulatta_gene_ensembl"	"Macaque genes (Mmul_10)"	"Mmul_10"	"Hoxb9_Hoxb13"	"91066"	""
"mmurdjan_gene_ensembl"	"Pinecone soldierfish genes (fMyrMur1.1)"	"fMyrMur1.1"	"Hoxb1_Hoxb9"	"187672.5"	"ignored_19_genes__multiple_extremities_this_is_average"
"mmurdjan_gene_ensembl"	"Pinecone soldierfish genes (fMyrMur1.1)"	"fMyrMur1.1"	"Hoxb9_Hoxb13"	"51948"	""
"mmurinus_gene_ensembl"	"Mouse Lemur genes (Mmur_3.0)"	"Mmur_3.0"	"Hoxb1_Hoxb9"	"96528"	""
"mmurinus_gene_ensembl"	"Mouse Lemur genes (Mmur_3.0)"	"Mmur_3.0"	"Hoxb9_Hoxb13"	"72111"	""
"mmusculus_gene_ensembl"	"Mouse genes (GRCm39)"	"GRCm39"	"Hoxb1_Hoxb9"	"89410"	"multiple_extremities_this_is_average"
"mmusculus_gene_ensembl"	"Mouse genes (GRCm39)"	"GRCm39"	"Hoxb9_Hoxb13"	"74043"	"multiple_extremities_this_is_average"
"mnemestrina_gene_ensembl"	"Pig-tailed macaque genes (Mnem_1.0)"	"Mnem_1.0"	"Hoxb1_Hoxb9"	"88435"	""
"mnemestrina_gene_ensembl"	"Pig-tailed macaque genes (Mnem_1.0)"	"Mnem_1.0"	"Hoxb9_Hoxb13"	"97857"	""
"mochrogaster_gene_ensembl"	"Prairie vole genes (MicOch1.0)"	"MicOch1.0"	"Hoxb1_Hoxb9"	"91268"	""
"mochrogaster_gene_ensembl"	"Prairie vole genes (MicOch1.0)"	"MicOch1.0"	"Hoxb9_Hoxb13"	"69322"	""
"mpahari_gene_ensembl"	"Shrew mouse genes (PAHARI_EIJ_v1.1)"	"PAHARI_EIJ_v1.1"	"Hoxb1_Hoxb9"	"90573"	"multiple_extremities_this_is_average"
"mpahari_gene_ensembl"	"Shrew mouse genes (PAHARI_EIJ_v1.1)"	"PAHARI_EIJ_v1.1"	"Hoxb9_Hoxb13"	"72895"	"multiple_extremities_this_is_average"
"mpfuro_gene_ensembl"	"Ferret genes (MusPutFur1.0)"	"MusPutFur1.0"	"Hoxb1_Hoxb9"	"89315"	""
"mpfuro_gene_ensembl"	"Ferret genes (MusPutFur1.0)"	"MusPutFur1.0"	"Hoxb9_Hoxb13"	"70436"	""
"mspicilegus_gene_ensembl"	"Steppe mouse genes (MUSP714)"	"MUSP714"	"Hoxb1_Hoxb9"	"90269"	""
"mspicilegus_gene_ensembl"	"Steppe mouse genes (MUSP714)"	"MUSP714"	"Hoxb9_Hoxb13"	"86774"	""
"mspretus_gene_ensembl"	"Algerian mouse genes (SPRET_EiJ_v1)"	"SPRET_EiJ_v1"	"Hoxb1_Hoxb9"	"91828"	"multiple_extremities_this_is_average"
"mspretus_gene_ensembl"	"Algerian mouse genes (SPRET_EiJ_v1)"	"SPRET_EiJ_v1"	"Hoxb9_Hoxb13"	"89321"	"multiple_extremities_this_is_average"
"mzebra_gene_ensembl"	"Zebra mbuna genes (M_zebra_UMD2a)"	"M_zebra_UMD2a"	"Hoxb1_Hoxb9"	"139953.5"	"ignored_LG8_genes__multiple_extremities_this_is_average"
"mzebra_gene_ensembl"	"Zebra mbuna genes (M_zebra_UMD2a)"	"M_zebra_UMD2a"	"Hoxb9_Hoxb13"	"98202"	""
"nbrichardi_gene_ensembl"	"Lyretail cichlid genes (NeoBri1.0)"	"NeoBri1.0"	"Hoxb1_Hoxb9"	"138328.5"	"ignored_JH422300.1_genes__multiple_extremities_this_is_average"
"nbrichardi_gene_ensembl"	"Lyretail cichlid genes (NeoBri1.0)"	"NeoBri1.0"	"Hoxb9_Hoxb13"	"94342"	""
"neugenii_gene_ensembl"	"Wallaby genes (Meug_1.0)"	"Meug_1.0"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"neugenii_gene_ensembl"	"Wallaby genes (Meug_1.0)"	"Meug_1.0"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"nfurzeri_gene_ensembl"	"Turquoise killifish genes (Nfu_20140520)"	"Nfu_20140520"	"Hoxb1_Hoxb9"	"143263"	"ignored_sgr12_genes__"
"nfurzeri_gene_ensembl"	"Turquoise killifish genes (Nfu_20140520)"	"Nfu_20140520"	"Hoxb9_Hoxb13"	NA	"two_genes_on_two_different_chr"
"ngalili_gene_ensembl"	"Upper Galilee mountains blind mole rat genes (S.galili_v1.0)"	"S.galili_v1.0"	"Hoxb1_Hoxb9"	"90307"	""
"ngalili_gene_ensembl"	"Upper Galilee mountains blind mole rat genes (S.galili_v1.0)"	"S.galili_v1.0"	"Hoxb9_Hoxb13"	"68057"	""
"nleucogenys_gene_ensembl"	"Gibbon genes (Nleu_3.0)"	"Nleu_3.0"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"nleucogenys_gene_ensembl"	"Gibbon genes (Nleu_3.0)"	"Nleu_3.0"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"nnaja_gene_ensembl"	"Indian cobra genes (Nana_v5)"	"Nana_v5"	"Hoxb1_Hoxb9"	"131925.5"	"multiple_extremities_this_is_average"
"nnaja_gene_ensembl"	"Indian cobra genes (Nana_v5)"	"Nana_v5"	"Hoxb9_Hoxb13"	"95946"	""
"nscutatus_gene_ensembl"	"Mainland tiger snake genes (TS10Xv2-PRI)"	"TS10Xv2-PRI"	"Hoxb1_Hoxb9"	"130434"	""
"nscutatus_gene_ensembl"	"Mainland tiger snake genes (TS10Xv2-PRI)"	"TS10Xv2-PRI"	"Hoxb9_Hoxb13"	"124825"	""
"nvison_gene_ensembl"	"American mink genes (NNQGG.v01)"	"NNQGG.v01"	"Hoxb1_Hoxb9"	"91294"	""
"nvison_gene_ensembl"	"American mink genes (NNQGG.v01)"	"NNQGG.v01"	"Hoxb9_Hoxb13"	"73184"	""
"oanatinus_gene_ensembl"	"Platypus genes (mOrnAna1.p.v1)"	"mOrnAna1.p.v1"	"Hoxb1_Hoxb9"	"102424"	""
"oanatinus_gene_ensembl"	"Platypus genes (mOrnAna1.p.v1)"	"mOrnAna1.p.v1"	"Hoxb9_Hoxb13"	"49108.5"	"multiple_extremities_this_is_average"
"oarambouillet_gene_ensembl"	"Sheep genes (ARS-UI_Ramb_v2.0)"	"ARS-UI_Ramb_v2.0"	"Hoxb1_Hoxb9"	"86444"	""
"oarambouillet_gene_ensembl"	"Sheep genes (ARS-UI_Ramb_v2.0)"	"ARS-UI_Ramb_v2.0"	"Hoxb9_Hoxb13"	"71352"	""
"oaries_gene_ensembl"	"Sheep (texel) genes (Oar_v3.1)"	"Oar_v3.1"	"Hoxb1_Hoxb9"	NA	"no_homologous_gene_found"
"oaries_gene_ensembl"	"Sheep (texel) genes (Oar_v3.1)"	"Oar_v3.1"	"Hoxb9_Hoxb13"	NA	"no_homologous_gene_found"
"ocuniculus_gene_ensembl"	"Rabbit genes (OryCun2.0)"	"OryCun2.0"	"Hoxb1_Hoxb9"	"85978"	""
"ocuniculus_gene_ensembl"	"Rabbit genes (OryCun2.0)"	"OryCun2.0"	"Hoxb9_Hoxb13"	"68166"	""
"odegus_gene_ensembl"	"Degu genes (OctDeg1.0)"	"OctDeg1.0"	"Hoxb1_Hoxb9"	"90809"	""
"odegus_gene_ensembl"	"Degu genes (OctDeg1.0)"	"OctDeg1.0"	"Hoxb9_Hoxb13"	"69205"	""
"ogarnettii_gene_ensembl"	"Bushbaby genes (OtoGar3)"	"OtoGar3"	"Hoxb1_Hoxb9"	"90801"	""
"ogarnettii_gene_ensembl"	"Bushbaby genes (OtoGar3)"	"OtoGar3"	"Hoxb9_Hoxb13"	"87927"	""
"ojavanicus_gene_ensembl"	"Javanese ricefish genes (OJAV_1.1)"	"OJAV_1.1"	"Hoxb1_Hoxb9"	"135054.5"	"ignored_19_genes__multiple_extremities_this_is_average"
"ojavanicus_gene_ensembl"	"Javanese ricefish genes (OJAV_1.1)"	"OJAV_1.1"	"Hoxb9_Hoxb13"	"41471"	""
"okisutch_gene_ensembl"	"Coho salmon genes (Okis_V2)"	"Okis_V2"	"Hoxb1_Hoxb9"	"100336"	"ignored_LG2_and_LG20_and_LG6_genes__"
"okisutch_gene_ensembl"	"Coho salmon genes (Okis_V2)"	"Okis_V2"	"Hoxb9_Hoxb13"	"28819"	"ignored_LG6_genes__"
"olatipes_gene_ensembl"	"Japanese medaka HdrR genes (ASM223467v1)"	"ASM223467v1"	"Hoxb1_Hoxb9"	"118395"	"ignored_19_genes__"
"olatipes_gene_ensembl"	"Japanese medaka HdrR genes (ASM223467v1)"	"ASM223467v1"	"Hoxb9_Hoxb13"	"25240"	""
"omelastigma_gene_ensembl"	"Indian medaka genes (Om_v0.7.RACA)"	"Om_v0.7.RACA"	"Hoxb1_Hoxb9"	"131894.25"	"ignored_NVQA01000018.1_genes__multiple_extremities_this_is_average"
"omelastigma_gene_ensembl"	"Indian medaka genes (Om_v0.7.RACA)"	"Om_v0.7.RACA"	"Hoxb9_Hoxb13"	"39771"	""
"omykiss_gene_ensembl"	"Rainbow trout genes (USDA_OmykA_1.1)"	"USDA_OmykA_1.1"	"Hoxb1_Hoxb9"	"98007"	"ignored_13_and_16_and_3_genes__"
"omykiss_gene_ensembl"	"Rainbow trout genes (USDA_OmykA_1.1)"	"USDA_OmykA_1.1"	"Hoxb9_Hoxb13"	"28929"	"ignored_13_genes__"
"oniloticus_gene_ensembl"	"Nile tilapia genes (O_niloticus_UMD_NMBU)"	"O_niloticus_UMD_NMBU"	"Hoxb1_Hoxb9"	"142319"	"ignored_LG8_genes__"
"oniloticus_gene_ensembl"	"Nile tilapia genes (O_niloticus_UMD_NMBU)"	"O_niloticus_UMD_NMBU"	"Hoxb9_Hoxb13"	"52976"	""
"oprinceps_gene_ensembl"	"Pika genes (OchPri2.0-Ens)"	"OchPri2.0-Ens"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"oprinceps_gene_ensembl"	"Pika genes (OchPri2.0-Ens)"	"OchPri2.0-Ens"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"osinensis_gene_ensembl"	"Chinese medaka genes (ASM858656v1)"	"ASM858656v1"	"Hoxb1_Hoxb9"	"128954"	"ignored_VHIC01000743.1_genes__"
"osinensis_gene_ensembl"	"Chinese medaka genes (ASM858656v1)"	"ASM858656v1"	"Hoxb9_Hoxb13"	"24526"	""
"otshawytscha_gene_ensembl"	"Chinook salmon genes (Otsh_v1.0)"	"Otsh_v1.0"	"Hoxb1_Hoxb9"	"100251"	"ignored_24_and_3_and_9_genes__"
"otshawytscha_gene_ensembl"	"Chinook salmon genes (Otsh_v1.0)"	"Otsh_v1.0"	"Hoxb9_Hoxb13"	"30326"	"ignored_9_genes__"
"pabelii_gene_ensembl"	"Sumatran orangutan genes (Susie_PABv2)"	"Susie_PABv2"	"Hoxb1_Hoxb9"	"91754"	""
"pabelii_gene_ensembl"	"Sumatran orangutan genes (Susie_PABv2)"	"Susie_PABv2"	"Hoxb9_Hoxb13"	"100229"	""
"panubis_gene_ensembl"	"Olive baboon genes (Panubis1.0)"	"Panubis1.0"	"Hoxb1_Hoxb9"	"92294"	""
"panubis_gene_ensembl"	"Olive baboon genes (Panubis1.0)"	"Panubis1.0"	"Hoxb9_Hoxb13"	"96240"	""
"pcapensis_gene_ensembl"	"Hyrax genes (proCap1)"	"proCap1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"pcapensis_gene_ensembl"	"Hyrax genes (proCap1)"	"proCap1"	"Hoxb9_Hoxb13"	NA	"two_genes_on_two_different_chr"
"pcatodon_gene_ensembl"	"Sperm whale genes (ASM283717v2)"	"ASM283717v2"	"Hoxb1_Hoxb9"	"89068"	""
"pcatodon_gene_ensembl"	"Sperm whale genes (ASM283717v2)"	"ASM283717v2"	"Hoxb9_Hoxb13"	"77361"	""
"pcinereus_gene_ensembl"	"Koala genes (phaCin_unsw_v4.1)"	"phaCin_unsw_v4.1"	"Hoxb1_Hoxb9"	"95102.3333333333"	"multiple_extremities_this_is_average"
"pcinereus_gene_ensembl"	"Koala genes (phaCin_unsw_v4.1)"	"phaCin_unsw_v4.1"	"Hoxb9_Hoxb13"	"101820"	"multiple_extremities_this_is_average"
"pcoquereli_gene_ensembl"	"Coquerel's sifaka genes (Pcoq_1.0)"	"Pcoq_1.0"	"Hoxb1_Hoxb9"	"87503"	""
"pcoquereli_gene_ensembl"	"Coquerel's sifaka genes (Pcoq_1.0)"	"Pcoq_1.0"	"Hoxb9_Hoxb13"	"79780"	""
"pformosa_gene_ensembl"	"Amazon molly genes (Poecilia_formosa-5.1.2)"	"Poecilia_formosa-5.1.2"	"Hoxb1_Hoxb9"	NA	"two_genes_on_more_than_two_different_chr"
"pformosa_gene_ensembl"	"Amazon molly genes (Poecilia_formosa-5.1.2)"	"Poecilia_formosa-5.1.2"	"Hoxb9_Hoxb13"	"76267"	""
"pkingsleyae_gene_ensembl"	"Paramormyrops kingsleyae genes (PKINGS_0.1)"	"PKINGS_0.1"	"Hoxb1_Hoxb9"	"81685"	""
"pkingsleyae_gene_ensembl"	"Paramormyrops kingsleyae genes (PKINGS_0.1)"	"PKINGS_0.1"	"Hoxb9_Hoxb13"	"28664"	""
"platipinna_gene_ensembl"	"Sailfin molly genes (P_latipinna-1.0)"	"P_latipinna-1.0"	"Hoxb1_Hoxb9"	NA	"two_genes_on_more_than_two_different_chr"
"platipinna_gene_ensembl"	"Sailfin molly genes (P_latipinna-1.0)"	"P_latipinna-1.0"	"Hoxb9_Hoxb13"	NA	"two_genes_on_two_different_chr"
"pleo_gene_ensembl"	"Lion genes (PanLeo1.0)"	"PanLeo1.0"	"Hoxb1_Hoxb9"	"89916"	""
"pleo_gene_ensembl"	"Lion genes (PanLeo1.0)"	"PanLeo1.0"	"Hoxb9_Hoxb13"	"70343"	""
"pmajor_gene_ensembl"	"Great Tit genes (Parus_major1.1)"	"Parus_major1.1"	"Hoxb1_Hoxb9"	NA	"two_genes_on_two_different_chr"
"pmajor_gene_ensembl"	"Great Tit genes (Parus_major1.1)"	"Parus_major1.1"	"Hoxb9_Hoxb13"	NA	"two_genes_on_two_different_chr"
"pmarinus_gene_ensembl"	"Lamprey genes (Pmarinus_7.0)"	"Pmarinus_7.0"	"Hoxb1_Hoxb9"	NA	"no_homologous_gene_found"
"pmarinus_gene_ensembl"	"Lamprey genes (Pmarinus_7.0)"	"Pmarinus_7.0"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"pmbairdii_gene_ensembl"	"Northern American deer mouse genes (HU_Pman_2.1)"	"HU_Pman_2.1"	"Hoxb1_Hoxb9"	"95125"	""
"pmbairdii_gene_ensembl"	"Northern American deer mouse genes (HU_Pman_2.1)"	"HU_Pman_2.1"	"Hoxb9_Hoxb13"	"77480"	""
"pmuralis_gene_ensembl"	"Common wall lizard genes (PodMur_1.0)"	"PodMur_1.0"	"Hoxb1_Hoxb9"	"141879"	""
"pmuralis_gene_ensembl"	"Common wall lizard genes (PodMur_1.0)"	"PodMur_1.0"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"pnattereri_gene_ensembl"	"Red-bellied piranha genes (Pygocentrus_nattereri-1.0.2)"	"Pygocentrus_nattereri-1.0.2"	"Hoxb1_Hoxb9"	"88846"	"ignored_KV575308.1_and_KV576475.1_genes__"
"pnattereri_gene_ensembl"	"Red-bellied piranha genes (Pygocentrus_nattereri-1.0.2)"	"Pygocentrus_nattereri-1.0.2"	"Hoxb9_Hoxb13"	"27231"	""
"pnyererei_gene_ensembl"	"Makobe Island cichlid genes (PunNye1.0)"	"PunNye1.0"	"Hoxb1_Hoxb9"	"142540.5"	"ignored_JH419222.1_genes__multiple_extremities_this_is_average"
"pnyererei_gene_ensembl"	"Makobe Island cichlid genes (PunNye1.0)"	"PunNye1.0"	"Hoxb9_Hoxb13"	NA	"two_genes_on_two_different_chr"
"ppaniscus_gene_ensembl"	"Bonobo genes (panpan1.1)"	"panpan1.1"	"Hoxb1_Hoxb9"	"89390"	""
"ppaniscus_gene_ensembl"	"Bonobo genes (panpan1.1)"	"panpan1.1"	"Hoxb9_Hoxb13"	"98840"	""
"ppardus_gene_ensembl"	"Leopard genes (PanPar1.0)"	"PanPar1.0"	"Hoxb1_Hoxb9"	"124313"	""
"ppardus_gene_ensembl"	"Leopard genes (PanPar1.0)"	"PanPar1.0"	"Hoxb9_Hoxb13"	"82686"	""
"preticulata_gene_ensembl"	"Guppy genes (Guppy_female_1.0_MT)"	"Guppy_female_1.0_MT"	"Hoxb1_Hoxb9"	"188903"	"ignored_KK217566.1_genes__"
"preticulata_gene_ensembl"	"Guppy genes (Guppy_female_1.0_MT)"	"Guppy_female_1.0_MT"	"Hoxb9_Hoxb13"	"75773"	""
"psimus_gene_ensembl"	"Greater bamboo lemur genes (Prosim_1.0)"	"Prosim_1.0"	"Hoxb1_Hoxb9"	"106844"	""
"psimus_gene_ensembl"	"Greater bamboo lemur genes (Prosim_1.0)"	"Prosim_1.0"	"Hoxb9_Hoxb13"	"74244"	""
"psinensis_gene_ensembl"	"Chinese softshell turtle genes (PelSin_1.0)"	"PelSin_1.0"	"Hoxb1_Hoxb9"	"93079"	""
"psinensis_gene_ensembl"	"Chinese softshell turtle genes (PelSin_1.0)"	"PelSin_1.0"	"Hoxb9_Hoxb13"	"88744"	""
"psinus_gene_ensembl"	"Vaquita genes (mPhoSin1.pri)"	"mPhoSin1.pri"	"Hoxb1_Hoxb9"	"87738"	""
"psinus_gene_ensembl"	"Vaquita genes (mPhoSin1.pri)"	"mPhoSin1.pri"	"Hoxb9_Hoxb13"	"75751"	""
"ptaltaica_gene_ensembl"	"Tiger genes (PanTig1.0)"	"PanTig1.0"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"ptaltaica_gene_ensembl"	"Tiger genes (PanTig1.0)"	"PanTig1.0"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"ptextilis_gene_ensembl"	"Eastern brown snake genes (EBS10Xv2-PRI)"	"EBS10Xv2-PRI"	"Hoxb1_Hoxb9"	"131707"	""
"ptextilis_gene_ensembl"	"Eastern brown snake genes (EBS10Xv2-PRI)"	"EBS10Xv2-PRI"	"Hoxb9_Hoxb13"	"118445"	""
"ptroglodytes_gene_ensembl"	"Chimpanzee genes (Pan_tro_3.0)"	"Pan_tro_3.0"	"Hoxb1_Hoxb9"	"88774"	""
"ptroglodytes_gene_ensembl"	"Chimpanzee genes (Pan_tro_3.0)"	"Pan_tro_3.0"	"Hoxb9_Hoxb13"	"106675"	""
"pvampyrus_gene_ensembl"	"Megabat genes (pteVam1)"	"pteVam1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"pvampyrus_gene_ensembl"	"Megabat genes (pteVam1)"	"pteVam1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"rbieti_gene_ensembl"	"Black snub-nosed monkey genes (ASM169854v1)"	"ASM169854v1"	"Hoxb1_Hoxb9"	"91403"	""
"rbieti_gene_ensembl"	"Black snub-nosed monkey genes (ASM169854v1)"	"ASM169854v1"	"Hoxb9_Hoxb13"	"98190"	""
"rferrumequinum_gene_ensembl"	"Greater horseshoe bat genes (mRhiFer1_v1.p)"	"mRhiFer1_v1.p"	"Hoxb1_Hoxb9"	"88223"	""
"rferrumequinum_gene_ensembl"	"Greater horseshoe bat genes (mRhiFer1_v1.p)"	"mRhiFer1_v1.p"	"Hoxb9_Hoxb13"	"60317"	""
"rnorvegicus_gene_ensembl"	"Rat genes (mRatBN7.2)"	"mRatBN7.2"	"Hoxb1_Hoxb9"	"90689"	""
"rnorvegicus_gene_ensembl"	"Rat genes (mRatBN7.2)"	"mRatBN7.2"	"Hoxb9_Hoxb13"	"74535"	""
"rroxellana_gene_ensembl"	"Golden snub-nosed monkey genes (Rrox_v1)"	"Rrox_v1"	"Hoxb1_Hoxb9"	"90635"	""
"rroxellana_gene_ensembl"	"Golden snub-nosed monkey genes (Rrox_v1)"	"Rrox_v1"	"Hoxb9_Hoxb13"	"97273"	""
"saraneus_gene_ensembl"	"Shrew genes (sorAra1)"	"sorAra1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"saraneus_gene_ensembl"	"Shrew genes (sorAra1)"	"sorAra1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"saurata_gene_ensembl"	"Gilthead seabream genes (fSpaAur1.1)"	"fSpaAur1.1"	"Hoxb1_Hoxb9"	"156125"	"ignored_20_genes__"
"saurata_gene_ensembl"	"Gilthead seabream genes (fSpaAur1.1)"	"fSpaAur1.1"	"Hoxb9_Hoxb13"	"63580"	""
"sbboliviensis_gene_ensembl"	"Bolivian squirrel monkey genes (SaiBol1.0)"	"SaiBol1.0"	"Hoxb1_Hoxb9"	"89763"	""
"sbboliviensis_gene_ensembl"	"Bolivian squirrel monkey genes (SaiBol1.0)"	"SaiBol1.0"	"Hoxb9_Hoxb13"	"90256"	""
"scanaria_gene_ensembl"	"Common canary genes (SCA1)"	"SCA1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"scanaria_gene_ensembl"	"Common canary genes (SCA1)"	"SCA1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"scaustralis_gene_ensembl"	"African ostrich genes (ASM69896v1)"	"ASM69896v1"	"Hoxb1_Hoxb9"	"92672"	""
"scaustralis_gene_ensembl"	"African ostrich genes (ASM69896v1)"	"ASM69896v1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"scerevisiae_gene_ensembl"	"Saccharomyces cerevisiae genes (R64-1-1)"	"R64-1-1"	"Hoxb1_Hoxb9"	NA	"no_homologous_gene_found"
"scerevisiae_gene_ensembl"	"Saccharomyces cerevisiae genes (R64-1-1)"	"R64-1-1"	"Hoxb9_Hoxb13"	NA	"no_homologous_gene_found"
"sdumerili_gene_ensembl"	"Greater amberjack genes (Sdu_1.0)"	"Sdu_1.0"	"Hoxb1_Hoxb9"	"182062"	"ignored_BDQW01000068.1_genes__"
"sdumerili_gene_ensembl"	"Greater amberjack genes (Sdu_1.0)"	"Sdu_1.0"	"Hoxb9_Hoxb13"	"62521"	""
"sformosus_gene_ensembl"	"Asian bonytongue genes (fSclFor1.1)"	"fSclFor1.1"	"Hoxb1_Hoxb9"	"79476"	"ignored_22_and_8_genes__"
"sformosus_gene_ensembl"	"Asian bonytongue genes (fSclFor1.1)"	"fSclFor1.1"	"Hoxb9_Hoxb13"	"21158"	"ignored_8_genes__"
"shabroptila_gene_ensembl"	"Kakapo genes (bStrHab1_v1.p)"	"bStrHab1_v1.p"	"Hoxb1_Hoxb9"	"88320"	""
"shabroptila_gene_ensembl"	"Kakapo genes (bStrHab1_v1.p)"	"bStrHab1_v1.p"	"Hoxb9_Hoxb13"	"40261"	""
